uh,uh_n,x
2052.1,25.0,0.67188
2062.0,25.0,0.675
2072.0,25.0,0.67813
2082.1,25.0,0.68125
2092.4,25.0,0.68437
2102.8,25.0,0.6875
2113.4,25.0,0.69063
2124.2,25.0,0.69375
2135.1,25.0,0.69687
2146.2,25.0,0.7
2157.4,25.0,0.70312
2168.8,25.0,0.70625
2180.4,25.0,0.70938
2192.1,25.0,0.7125
2203.9,25.0,0.71562
2215.8,25.0,0.71875
2227.8,25.0,0.72188
2239.7,25.0,0.725
2251.5,25.0,0.72812
2263.0,25.0,0.73125
2274.1,25.0,0.73438
2284.5,25.0,0.7375
2293.9,25.0,0.74063
2301.9,25.0,0.74375
2308.0,25.0,0.74687
2311.6,25.0,0.75
2312.1,25.0,0.75313
2308.7,25.0,0.75625
2300.6,25.0,0.75937
2286.8,25.0,0.7625
2266.4,25.0,0.76562
2238.5,25.0,0.76875
2202.2,25.0,0.77188
2156.8,25.0,0.775
2101.7,25.0,0.77812
2036.7,25.0,0.78125
1961.5,25.0,0.78438
1876.5,25.0,0.7875
1782.3,25.0,0.79062
1679.8,25.0,0.79375
1570.3,25.0,0.79688
1455.3,25.0,0.8
1336.6,25.0,0.80313
1216.0,25.0,0.80625
1095.7,25.0,0.80937
977.37,25.0,0.8125
863.01,25.0,0.81563
754.18,25.0,0.81875
652.25,25.0,0.82187
558.27,25.0,0.825
472.97,25.0,0.82812
396.75,25.0,0.83125
329.69,25.0,0.83438
271.6,25.0,0.8375
222.05,25.0,0.84062
180.44,25.0,0.84375
146.02,25.0,0.84688
117.99,25.0,0.85
95.508,25.0,0.85312
77.75,25.0,0.85625
63.935,25.0,0.85938
53.351,25.0,0.8625
45.365,25.0,0.86563
39.429,25.0,0.86875
35.083,25.0,0.87187
31.95,25.0,0.875
29.724,25.0,0.87813
28.167,25.0,0.88125
27.094,25.0,0.88437
26.365,25.0,0.8875
25.878,25.0,0.89062
25.557,25.0,0.89375
25.348,25.0,0.89688
25.215,25.0,0.9
25.13,25.0,0.90312
25.078,25.0,0.90625
25.046,25.0,0.90938
25.027,25.0,0.9125
25.016,25.0,0.91562
25.009,25.0,0.91875
25.005,25.0,0.92188
25.003,25.0,0.925
25.001,25.0,0.92813
25.001,25.0,0.93125
25.0,25.0,0.93437
25.0,25.0,0.9375
25.0,25.0,0.94063
25.0,25.0,0.94375
25.0,25.0,0.94687
25.0,25.0,0.95
25.0,25.0,0.95312
25.0,25.0,0.95625
25.0,25.0,0.95938
25.0,25.0,0.9625
25.0,25.0,0.96562
25.0,25.0,0.96875
25.0,25.0,0.97188
25.0,25.0,0.975
25.0,25.0,0.97812
25.0,25.0,0.98125
25.0,25.0,0.98438
25.0,25.0,0.9875
25.0,25.0,0.99063
25.0,25.0,0.99375
25.0,25.0,0.99687
25.0,25.0,1.0
