Time,"T","gammaNodes","material","Points:0","Points:1","Points:2"
10.05,694.39,0,0,0.048,0,0.12499
10.05,695.76,0,0,0.06,0,0.12499
10.05,697.12,0,0,0.072,0,0.12499
10.05,698.49,0,0,0.084,0,0.12499
10.05,699.87,0,0,0.096,0,0.12499
10.05,701.25,0,0,0.108,0,0.12499
10.05,702.64,0,0,0.12,0,0.12499
10.05,704.03,0,0,0.132,0,0.12499
10.05,705.42,0,0,0.144,0,0.12499
10.05,706.82,0,0,0.156,0,0.12499
10.05,708.23,0,0,0.168,0,0.12499
10.05,709.64,0,0,0.18,0,0.12499
10.05,711.05,0,0,0.192,0,0.12499
10.05,712.47,0,0,0.204,0,0.12499
10.05,713.89,0,0,0.216,0,0.12499
10.05,715.32,0,0,0.228,0,0.12499
10.05,716.76,0,0,0.24,0,0.12499
10.05,718.19,0,0,0.252,0,0.12499
10.05,719.64,0,0,0.264,0,0.12499
10.05,721.08,0,0,0.276,0,0.12499
10.05,722.54,0,0,0.288,0,0.12499
10.05,723.99,0,0,0.3,0,0.12499
10.05,725.46,0,0,0.312,0,0.12499
10.05,726.93,0,0,0.324,0,0.12499
10.05,728.4,0,0,0.336,0,0.12499
10.05,729.88,0,0,0.348,0,0.12499
10.05,731.36,0,0,0.36,0,0.12499
10.05,732.85,0,0,0.372,0,0.12499
10.05,734.35,0,0,0.384,0,0.12499
10.05,735.84,0,0,0.396,0,0.12499
10.05,737.35,0,0,0.408,0,0.12499
10.05,738.86,0,0,0.42,0,0.12499
10.05,740.37,0,0,0.432,0,0.12499
10.05,741.89,0,0,0.444,0,0.12499
10.05,743.42,0,0,0.456,0,0.12499
10.05,744.95,0,0,0.468,0,0.12499
10.05,746.48,0,0,0.48,0,0.12499
10.05,748.02,0,0,0.492,0,0.12499
10.05,749.57,0,0,0.504,0,0.12499
10.05,751.12,0,0,0.516,0,0.12499
10.05,752.68,0,0,0.528,0,0.12499
10.05,754.24,0,0,0.54,0,0.12499
10.05,755.81,0,0,0.552,0,0.12499
10.05,757.38,0,0,0.564,0,0.12499
10.05,758.96,0,0,0.576,0,0.12499
10.05,760.54,0,0,0.588,0,0.12499
10.05,762.13,0,0,0.6,0,0.12499
10.05,763.73,0,0,0.612,0,0.12499
10.05,765.33,0,0,0.624,0,0.12499
10.05,766.94,0,0,0.636,0,0.12499
10.05,768.55,0,0,0.648,0,0.12499
10.05,770.17,0,0,0.66,0,0.12499
10.05,771.79,0,0,0.672,0,0.12499
10.05,773.42,0,0,0.684,0,0.12499
10.05,775.05,0,0,0.696,0,0.12499
10.05,776.68,0,0,0.708,0,0.12499
10.05,778.33,0,0,0.72,0,0.12499
10.05,779.97,0,0,0.732,0,0.12499
10.05,781.62,0,0,0.744,0,0.12499
10.05,783.27,0,0,0.756,0,0.12499
10.05,784.92,0,0,0.768,0,0.12499
10.05,786.56,0,0,0.78,0,0.12499
10.05,788.21,0,0,0.792,0,0.12499
10.05,789.84,0,0,0.804,0,0.12499
10.05,791.46,0,0,0.816,0,0.12499
10.05,793.06,0,0,0.828,0,0.12499
10.05,794.61,0,0,0.84,0,0.12499
10.05,796.14,0,0,0.852,0,0.12499
10.05,797.56,0,0,0.864,0,0.12499
10.05,798.95,0,0,0.876,0,0.12499
10.05,800.1,0,0,0.888,0,0.12499
10.05,801.25,0,0,0.9,0,0.12499
10.05,801.88,0,0,0.912,0,0.12499
10.05,802.51,1,0,0.924,0,0.12499
10.05,803.43,1,0,0.936,0,0.12499
10.05,804.38,0,0,0.948,0,0.12499
10.05,805.97,0,0,0.96,0,0.12499
10.05,807.68,0,0,0.972,0,0.12499
10.05,809.42,0,0,0.984,0,0.12499
10.05,811.18,0,0,0.996,0,0.12499
10.05,812.94,0,0,1.008,0,0.12499
10.05,814.7,0,0,1.02,0,0.12499
10.05,816.48,0,0,1.032,0,0.12499
10.05,818.26,0,0,1.044,0,0.12499
10.05,820.05,0,0,1.056,0,0.12499
10.05,821.84,0,0,1.068,0,0.12499
10.05,823.64,0,0,1.08,0,0.12499
10.05,825.45,0,0,1.092,0,0.12499
10.05,827.26,0,0,1.104,0,0.12499
10.05,829.08,0,0,1.116,0,0.12499
10.05,830.9,0,0,1.128,0,0.12499
10.05,832.74,0,0,1.14,0,0.12499
10.05,834.58,0,0,1.152,0,0.12499
10.05,836.43,0,0,1.164,0,0.12499
10.05,838.28,0,0,1.176,0,0.12499
10.05,840.14,0,0,1.188,0,0.12499
10.05,842,0,0,1.2,0,0.12499
10.05,843.88,0,0,1.212,0,0.12499
10.05,845.76,0,0,1.224,0,0.12499
10.05,847.65,0,0,1.236,0,0.12499
10.05,849.55,0,0,1.248,0,0.12499
10.05,851.45,0,0,1.26,0,0.12499
10.05,853.36,0,0,1.272,0,0.12499
10.05,855.28,0,0,1.284,0,0.12499
10.05,857.2,0,0,1.296,0,0.12499
10.05,859.13,0,0,1.308,0,0.12499
10.05,861.07,0,0,1.32,0,0.12499
10.05,863.02,0,0,1.332,0,0.12499
10.05,864.97,0,0,1.344,0,0.12499
10.05,866.93,0,0,1.356,0,0.12499
10.05,868.9,0,0,1.368,0,0.12499
10.05,870.88,0,0,1.38,0,0.12499
10.05,872.86,0,0,1.392,0,0.12499
10.05,874.85,0,0,1.404,0,0.12499
10.05,876.85,0,0,1.416,0,0.12499
10.05,878.86,0,0,1.428,0,0.12499
10.05,880.88,0,0,1.44,0,0.12499
10.05,882.9,0,0,1.452,0,0.12499
10.05,884.93,0,0,1.464,0,0.12499
10.05,886.96,0,0,1.476,0,0.12499
10.05,889.01,0,0,1.488,0,0.12499
10.05,891.06,0,0,1.5,0,0.12499
10.05,893.13,0,0,1.512,0,0.12499
10.05,895.2,0,0,1.524,0,0.12499
10.05,897.28,0,0,1.536,0,0.12499
10.05,899.36,0,0,1.548,0,0.12499
10.05,901.46,0,0,1.56,0,0.12499
10.05,903.56,0,0,1.572,0,0.12499
10.05,905.68,0,0,1.584,0,0.12499
10.05,907.79,0,0,1.596,0,0.12499
10.05,909.92,0,0,1.608,0,0.12499
10.05,912.06,0,0,1.62,0,0.12499
10.05,914.21,0,0,1.632,0,0.12499
10.05,916.36,0,0,1.644,0,0.12499
10.05,918.52,0,0,1.656,0,0.12499
10.05,920.7,0,0,1.668,0,0.12499
10.05,922.88,0,0,1.68,0,0.12499
10.05,925.07,0,0,1.692,0,0.12499
10.05,927.26,0,0,1.704,0,0.12499
10.05,929.47,0,0,1.716,0,0.12499
10.05,931.69,0,0,1.728,0,0.12499
10.05,933.91,0,0,1.74,0,0.12499
10.05,936.15,0,0,1.752,0,0.12499
10.05,938.39,0,0,1.764,0,0.12499
10.05,940.64,0,0,1.776,0,0.12499
10.05,942.91,0,0,1.788,0,0.12499
10.05,945.17,0,0,1.8,0,0.12499
10.05,947.46,0,0,1.812,0,0.12499
10.05,949.75,0,0,1.824,0,0.12499
