"uh","Points:0","Points:1","Points:2"
1421.8,-0.0875,0,0
1424.5,-0.084375,4.5103e-17,0
1424.5,-0.084375,0,0
1427.3,-0.08125,4.4235e-17,0
1427.3,-0.08125,0,0
1430.3,-0.078125,0,0
1430.3,-0.078125,0,0
1433.3,-0.075,0,0
1433.3,-0.075,0,0
1436.4,-0.071875,4.4235e-17,0
1436.4,-0.071875,0,0
1439.6,-0.06875,0,0
1439.6,-0.06875,0,0
1442.8,-0.065625,0,0
1442.8,-0.065625,0,0
1446,-0.0625,0,0
1446,-0.0625,0,0
1449.4,-0.059375,4.4235e-17,0
1449.4,-0.059375,0,0
1452.7,-0.05625,4.4235e-17,0
1452.7,-0.05625,0,0
1456.1,-0.053125,0,0
1456.1,-0.053125,0,0
1459.6,-0.05,0,0
1459.6,-0.05,0,0
1463,-0.046875,0,0
1463,-0.046875,0,0
1466.5,-0.04375,0,0
1466.5,-0.04375,0,0
1470.1,-0.040625,0,0
1470.1,-0.040625,0,0
1473.6,-0.0375,4.4235e-17,0
1473.6,-0.0375,0,0
1477.2,-0.034375,4.5103e-17,0
1477.2,-0.034375,0,0
1480.8,-0.03125,0,0
1480.8,-0.03125,0,0
1484.5,-0.028125,4.4235e-17,0
1484.5,-0.028125,0,0
1488.2,-0.025,0,0
1488.2,-0.025,0,0
1491.9,-0.021875,0,0
1491.9,-0.021875,0,0
1495.6,-0.01875,4.4235e-17,0
1495.6,-0.01875,0,0
1499.4,-0.015625,0,0
1499.4,-0.015625,0,0
1503.2,-0.0125,0,0
1503.2,-0.0125,0,0
1507,-0.009375,0,0
1507,-0.009375,0,0
